,University Name,Field,City,Region,Major,Lowest Score,Highest Score,Ranking,YEAR
73,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Art History,260.16444,314.99841,376000,2017
74,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Biology,249.78455,312.49942,238000,2017
75,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Civil Engineering,281.69048,363.33075,168000,2017
76,ADIYAMAN UNIVERSITY,EA,ADIYAMAN,Southeastern Anatolia Region,Guidance and Psychological Counseling,384.19001,409.46418,56000,2017
77,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,History,289.18742,396.87184,261000,2017
78,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Math,242.50324,351.6748,245000,2017
79,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Midwifery,307.11193,333.49787,240000,2017
80,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Nursing,333.94865,413.57486,215000,2017
81,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Pre-school Teaching,402.19715,444.37682,26000,2017
82,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Primary School Math Teaching,341.65111,411.81992,93200,2017
83,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Social Science Teaching,340.7375,385.82582,108000,2017
84,ADIYAMAN UNIVERSITY,EA,ADIYAMAN,Southeastern Anatolia Region,Social Service,325.17098,372.61268,158000,2017
85,ADIYAMAN UNIVERSITY,EA,ADIYAMAN,Southeastern Anatolia Region,Teaching,340.46105,400.69571,107000,2017
86,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Turkish Language and Literature,309.101,361.89513,200000,2017
87,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Turkish Teaching,390.46606,452.95471,48300,2017
88,ADIYAMAN UNIVERSITY,DIL,ADIYAMAN,Southeastern Anatolia Region,"
Arabic Teaching",279.18544,435.73533,43524,2018
89,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Art History,246.82562,295.52075,613647,2018
90,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Biology,235.50645,312.26308,359842,2018
91,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Civil Engineering,260.48671,357.76937,253039,2018
92,ADIYAMAN UNIVERSITY,EA,ADIYAMAN,Southeastern Anatolia Region,Guidance and Psychological Counseling,325.71247,391.88651,117005,2018
93,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,History,274.21066,395.81818,375357,2018
94,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Math,233.18728,303.92169,372280,2018
95,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Midwifery,266.81765,295.87105,233199,2018
96,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Nursing,294.15503,397.12105,168538,2018
97,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Pre-school Teaching,382.16247,425.50567,19193,2018
98,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Primary School Math Teaching,326.1593,411.28214,118889,2018
99,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Social Science Teaching,327.73206,399.29336,111943,2018
100,ADIYAMAN UNIVERSITY,EA,ADIYAMAN,Southeastern Anatolia Region,Social Service,268.09033,313.22954,328898,2018
101,ADIYAMAN UNIVERSITY,EA,ADIYAMAN,Southeastern Anatolia Region,Teaching,311.97178,372.7514,151079,2018
102,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Turkish Language and Literature,300.48445,359.78551,217310,2018
103,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Turkish Teaching,363.72559,400.76063,37480,2018
104,ADIYAMAN UNIVERSITY (SE),DIL,ADIYAMAN,Southeastern Anatolia Region,"
Arabic Teaching",314.59809,415.34782,38600,2015
105,ADIYAMAN UNIVERSITY (SE),SOZ,ADIYAMAN,Southeastern Anatolia Region,Turkish Language and Literature,323.49202,381.56036,105000,2015
106,ADIYAMAN UNIVERSITY (SE),DIL,ADIYAMAN,Southeastern Anatolia Region,"
Arabic Teaching",352.47264,412.57128,32300,2016
107,ADIYAMAN UNIVERSITY (SE),SOZ,ADIYAMAN,Southeastern Anatolia Region,Turkish Language and Literature,336.2663,354.0671,124000,2016
108,ADIYAMAN UNIVERSITY (SE),DIL,ADIYAMAN,Southeastern Anatolia Region,"
Arabic Teaching",344.61897,399.91075,35000,2017
109,ADIYAMAN UNIVERSITY (SE),SOZ,ADIYAMAN,Southeastern Anatolia Region,Turkish Language and Literature,272.30842,354.92352,324000,2017
110,ADIYAMAN UNIVERSITY (SE),DIL,ADIYAMAN,Southeastern Anatolia Region,"
Arabic Teaching",243.11058,426.99554,56700,2018
111,ADIYAMAN UNIVERSITY (SE),SOZ,ADIYAMAN,Southeastern Anatolia Region,Turkish Language and Literature,279.82182,340.79131,336177,2018
112,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Biomedical Engineering",326.90256,362.95386,82500,2015
113,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Electrical Engineering",289.85156,352.88047,122000,2015
